
2026/03/12 (05:11:53) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2026/03/12 (05:11:53) | DEBUG: Shared::init() : Initialized.
2026/03/12 (05:11:53) | WARNING: Failed to get disk/partition stats for mount "/run/user/1000/doc" with statvfs error code: 1. Ignoring...
2026/03/12 (05:12:05) | INFO: Quitting! Runtime: 00:00:12

2026/03/12 (05:12:58) | ===> btop++ v.1.4.6
2026/03/12 (05:12:58) | INFO: Logger set to DEBUG
2026/03/12 (05:12:58) | DEBUG: Using locale C
2026/03/12 (05:12:58) | INFO: Running on /dev/pts/0
2026/03/12 (05:12:58) | DEBUG: TTY mode enabled: false
2026/03/12 (05:12:58) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2026/03/12 (05:12:58) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2026/03/12 (05:12:58) | DEBUG: Shared::init() : Initialized.
2026/03/12 (05:12:58) | WARNING: Failed to get disk/partition stats for mount "/run/user/1000/doc" with statvfs error code: 1. Ignoring...

2026/03/12 (19:15:20) | ===> btop++ v.1.4.6
2026/03/12 (19:15:20) | INFO: Logger set to DEBUG
2026/03/12 (19:15:20) | DEBUG: Using locale C
2026/03/12 (19:15:20) | INFO: Running on /dev/pts/2
2026/03/12 (19:15:20) | DEBUG: TTY mode enabled: false
2026/03/12 (19:15:20) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2026/03/12 (19:15:20) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2026/03/12 (19:15:20) | DEBUG: Shared::init() : Initialized.
2026/03/12 (19:15:21) | WARNING: Failed to get disk/partition stats for mount "/run/user/1000/doc" with statvfs error code: 1. Ignoring...

2026/03/12 (21:08:09) | ===> btop++ v.1.4.6
2026/03/12 (21:08:09) | INFO: Logger set to DEBUG
2026/03/12 (21:08:09) | DEBUG: Using locale C
2026/03/12 (21:08:09) | INFO: Running on /dev/pts/0
2026/03/12 (21:08:09) | DEBUG: TTY mode enabled: false
2026/03/12 (21:08:09) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2026/03/12 (21:08:09) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2026/03/12 (21:08:09) | DEBUG: Shared::init() : Initialized.
2026/03/12 (21:08:09) | WARNING: Failed to get disk/partition stats for mount "/run/user/1000/doc" with statvfs error code: 1. Ignoring...

2026/03/13 (16:28:52) | ===> btop++ v.1.4.6
2026/03/13 (16:28:52) | INFO: Logger set to DEBUG
2026/03/13 (16:28:52) | DEBUG: Using locale C
2026/03/13 (16:28:52) | INFO: Running on /dev/pts/0
2026/03/13 (16:28:52) | DEBUG: TTY mode enabled: false
2026/03/13 (16:28:52) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2026/03/13 (16:28:52) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2026/03/13 (16:28:52) | DEBUG: Shared::init() : Initialized.
2026/03/13 (16:28:52) | WARNING: Failed to get disk/partition stats for mount "/run/user/1000/doc" with statvfs error code: 1. Ignoring...

2026/03/13 (17:52:28) | ===> btop++ v.1.4.6
2026/03/13 (17:52:28) | INFO: Logger set to DEBUG
2026/03/13 (17:52:28) | DEBUG: Using locale C
2026/03/13 (17:52:28) | INFO: Running on /dev/pts/0
2026/03/13 (17:52:28) | DEBUG: TTY mode enabled: false
2026/03/13 (17:52:28) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2026/03/13 (17:52:28) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2026/03/13 (17:52:28) | DEBUG: Shared::init() : Initialized.
2026/03/13 (17:52:28) | WARNING: Failed to get disk/partition stats for mount "/run/user/1000/doc" with statvfs error code: 1. Ignoring...

2026/03/13 (20:23:42) | ===> btop++ v.1.4.6
2026/03/13 (20:23:42) | INFO: Logger set to DEBUG
2026/03/13 (20:23:42) | DEBUG: Using locale C
2026/03/13 (20:23:42) | INFO: Running on /dev/pts/0
2026/03/13 (20:23:42) | DEBUG: TTY mode enabled: false
